epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40205,1.46895,1.42252,1.25548,0.84069,0.66667,0.72953,0.50075,1.28191,1.10765,1.14524,0.000156863,0.000156863,0.0687843
2,19.3401,1.47453,1.28653,1.22718,0.79229,0.85034,0.8753,0.50045,1.46199,1.33367,1.15018,0.000323213,0.000323213,0.0356173
3,26.7892,1.42543,1.10662,1.22531,0.87,0.74668,0.84974,0.5269,1.41593,1.26325,1.21211,0.000488283,0.000488283,0.00244907
4,34.7858,1.44249,1.26302,1.26424,0.96321,0.66667,0.69428,0.45711,1.17876,1.41139,1.16982,0.000495616,0.000495616,0.000495616
5,41.5352,1.33197,1.1176,1.23585,0.97187,0.55556,0.62801,0.39016,1.53258,1.60243,1.3176,0.000492224,0.000492224,0.000492224
6,52.4742,1.3102,1.25366,1.17548,0.87239,0.76157,0.86296,0.53118,1.33744,0.99094,1.22991,0.000487886,0.000487886,0.000487886
7,65.7559,1.31314,1.1397,1.17879,0.81025,0.55556,0.66982,0.45901,1.30939,1.11436,1.26064,0.00048262,0.00048262,0.00048262
8,75.1016,1.35857,1.20924,1.20532,0.82297,0.55556,0.64112,0.39574,1.49395,1.40876,1.50241,0.000476445,0.000476445,0.000476445
9,82.4761,1.31046,1.08527,1.22758,0.98922,0.66667,0.79957,0.5103,1.47906,1.14503,1.44034,0.000469386,0.000469386,0.000469386
10,92.7365,1.40672,1.09239,1.24018,0.99089,0.66667,0.69826,0.51995,1.39393,1.38629,1.34251,0.000461471,0.000461471,0.000461471
11,102.868,1.25357,1.03598,1.17712,0.98748,0.66667,0.72928,0.54389,1.40251,1.30823,1.31857,0.000452732,0.000452732,0.000452732
12,113.72,1.27217,1.07686,1.1689,0.99366,0.66667,0.72719,0.48782,1.32886,1.15275,1.21784,0.000443202,0.000443202,0.000443202
13,120.469,1.20657,0.96967,1.11604,1,0.66541,0.74148,0.52146,1.26791,1.21226,1.18793,0.00043292,0.00043292,0.00043292
14,127.886,1.23796,0.9434,1.16046,0.99075,0.66667,0.80983,0.51572,1.25727,1.00807,1.13459,0.000421925,0.000421925,0.000421925
15,137.512,1.28383,0.97937,1.164,1,0.64565,0.89346,0.58599,1.29271,0.8975,1.14914,0.000410262,0.000410262,0.000410262
16,147.124,1.295,0.96165,1.16784,0.99488,0.66667,0.83391,0.54956,1.35733,0.97787,1.18074,0.000397977,0.000397977,0.000397977
17,159.163,1.25585,0.92859,1.18193,0.9776,0.66667,0.762,0.51464,1.42389,1.26558,1.20584,0.000385117,0.000385117,0.000385117
18,169.172,1.20132,0.89516,1.17293,0.98928,0.66667,0.75063,0.53664,1.4181,1.12766,1.19917,0.000371734,0.000371734,0.000371734
19,175.827,1.14876,0.89857,1.11409,0.98251,0.66667,0.83132,0.57303,1.24552,0.87816,1.14242,0.00035788,0.00035788,0.00035788
20,182.703,1.21078,0.84881,1.15794,0.98613,0.66667,0.86539,0.57557,1.23534,0.87826,1.13454,0.000343611,0.000343611,0.000343611
21,189.884,1.15644,0.80286,1.0777,1,0.65682,0.8165,0.51191,1.21529,1.09301,1.11726,0.000328982,0.000328982,0.000328982
22,197.647,1.12451,0.88111,1.14619,0.84367,0.66667,0.68087,0.47491,1.24388,1.2437,1.1384,0.000314051,0.000314051,0.000314051
23,204.379,1.13185,0.76124,1.12769,0.98411,0.66667,0.73056,0.55102,1.20924,1.15581,1.14275,0.000298877,0.000298877,0.000298877
24,210.778,1.10279,0.802,1.09695,0.98662,0.66667,0.76887,0.59877,1.17622,1.10898,1.11384,0.00028352,0.00028352,0.00028352
25,218.68,1.06232,0.76307,1.07248,0.93407,0.66667,0.77373,0.56455,1.19363,1.14832,1.11833,0.000268041,0.000268041,0.000268041
26,225.129,1.14946,0.78404,1.09975,0.95927,0.66667,0.74118,0.54657,1.19027,1.13136,1.11156,0.0002525,0.0002525,0.0002525
27,236.599,1.03545,0.76193,1.09742,0.98692,0.66667,0.6956,0.52276,1.28081,1.42312,1.1285,0.000236959,0.000236959,0.000236959
28,243.314,1.13551,0.80425,1.13983,0.98818,0.66667,0.68474,0.50487,1.23302,1.40416,1.10069,0.00022148,0.00022148,0.00022148
29,250.284,1.05258,0.7063,1.06795,0.98811,0.66667,0.6925,0.5343,1.20107,1.40026,1.08585,0.000206123,0.000206123,0.000206123
30,256.862,1.01496,0.69789,1.02861,0.98924,0.66667,0.6958,0.51233,1.21326,1.23562,1.10002,0.000190949,0.000190949,0.000190949
31,264.343,1.06156,0.73455,1.06006,0.98941,0.66667,0.70795,0.54802,1.19409,1.24431,1.09337,0.000176018,0.000176018,0.000176018
32,274.098,1.01047,0.71106,1.07592,0.98942,0.66667,0.71105,0.53673,1.20474,1.1599,1.08804,0.000161389,0.000161389,0.000161389
33,285.96,1.0238,0.70539,1.0772,0.9896,0.66667,0.73017,0.53922,1.20249,1.12459,1.08766,0.00014712,0.00014712,0.00014712
34,293.218,0.97049,0.65111,1.0684,0.98952,0.66667,0.74696,0.55116,1.18798,1.08226,1.09311,0.000133266,0.000133266,0.000133266
