epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0841,1.29595,1.53839,1.16667,0.71567,0.53183,0.629,0.40448,1.29411,1.42827,1.12722,0.000164286,0.000164286,0.0673071
2,93.6878,1.17501,1.29757,1.11495,0.68556,0.57746,0.6821,0.47535,1.04469,1.73325,1.10723,0.000330629,0.000330629,0.0341402
3,133.385,1.25074,1.38888,1.20316,0.54903,0.77465,0.65064,0.40842,1.1107,1.47567,1.13121,0.000495677,0.000495677,0.000971867
4,169.208,1.22637,1.36958,1.17982,0.61378,0.80583,0.71986,0.46753,1.06477,1.69709,1.11125,0.000495616,0.000495616,0.000495616
5,207.185,1.24821,1.41319,1.16563,0.60297,0.8169,0.75347,0.50265,1.10661,1.36357,1.13243,0.000492224,0.000492224,0.000492224
6,249.865,1.20997,1.22143,1.16631,0.63335,0.66197,0.70784,0.48502,1.09233,1.43214,1.19318,0.000487886,0.000487886,0.000487886
7,292.105,1.17817,1.23745,1.18963,0.57946,0.61972,0.58392,0.35074,1.25683,1.80682,1.24223,0.00048262,0.00048262,0.00048262
8,325.514,1.18086,1.248,1.14446,0.66664,0.66197,0.6925,0.47872,1.11838,1.65342,1.22177,0.000476445,0.000476445,0.000476445
9,358.759,1.14286,1.1929,1.1522,0.77412,0.67578,0.75259,0.51067,1.13824,1.22678,1.26477,0.000469386,0.000469386,0.000469386
10,397.021,1.22527,1.24236,1.17529,0.66591,0.70423,0.73069,0.50502,1.10722,1.22314,1.16642,0.000461471,0.000461471,0.000461471
11,433.92,1.17957,1.17128,1.11954,0.68207,0.69502,0.74681,0.51134,1.16767,1.24908,1.16636,0.000452732,0.000452732,0.000452732
12,482.287,1.10442,1.13962,1.10978,0.66166,0.71831,0.72571,0.47806,1.23889,1.43034,1.25992,0.000443202,0.000443202,0.000443202
13,516.07,1.14651,1.19903,1.12967,0.64398,0.68788,0.71993,0.49439,1.11269,1.19995,1.10042,0.00043292,0.00043292,0.00043292
14,550.918,1.12513,1.12095,1.10054,0.71116,0.64789,0.71023,0.47942,1.10469,1.24869,1.08999,0.000421925,0.000421925,0.000421925
15,587.772,1.12941,1.11421,1.13737,0.68312,0.67606,0.68423,0.47391,1.08186,1.24265,1.14711,0.000410262,0.000410262,0.000410262
16,621.183,1.06984,1.06972,1.11975,0.71419,0.71831,0.7216,0.48381,1.08307,1.16532,1.18189,0.000397977,0.000397977,0.000397977
17,669.138,1.03513,1.17345,1.07264,0.67928,0.68614,0.7258,0.50189,1.21267,1.27561,1.21134,0.000385117,0.000385117,0.000385117
18,706.576,1.01674,1.08641,1.08514,0.76583,0.64789,0.73969,0.50863,1.18676,1.22587,1.19479,0.000371734,0.000371734,0.000371734
19,750.069,0.99682,1.03515,1.05777,0.7382,0.67515,0.757,0.53289,1.11269,1.2198,1.11164,0.00035788,0.00035788,0.00035788
20,800.964,0.9675,0.97273,1.05089,0.67224,0.75112,0.77248,0.54279,1.02547,1.06117,1.11752,0.000343611,0.000343611,0.000343611
21,855.052,0.94439,0.98155,1.0577,0.74307,0.77397,0.83077,0.5939,0.94531,1.05667,1.04306,0.000328982,0.000328982,0.000328982
22,913.433,0.94714,0.92199,1.03303,0.70418,0.77117,0.80243,0.57916,0.96119,0.97251,1.03041,0.000314051,0.000314051,0.000314051
23,950.83,0.90124,1.02392,1.01048,0.74379,0.69014,0.78916,0.55574,0.93983,1.08691,1.03276,0.000298877,0.000298877,0.000298877
24,989.621,0.93348,0.93258,1.03687,0.63332,0.78873,0.75061,0.53658,1.00604,1.10272,1.07415,0.00028352,0.00028352,0.00028352
25,1032.64,0.91364,0.87891,1.02598,0.69844,0.78294,0.77508,0.56029,0.93615,1.068,1.0416,0.000268041,0.000268041,0.000268041
26,1067.75,0.919,0.93178,1.04628,0.83177,0.69643,0.81118,0.58302,0.92598,1.01092,1.01885,0.0002525,0.0002525,0.0002525
27,1117.5,0.92234,0.87312,1.04986,0.68144,0.83099,0.81592,0.59226,0.96249,0.96014,1.02041,0.000236959,0.000236959,0.000236959
28,1155.41,0.88699,0.85999,1.03117,0.74605,0.78873,0.83492,0.59498,1.03657,1.04171,1.09579,0.00022148,0.00022148,0.00022148
29,1197.04,0.88489,0.83479,1.0061,0.79424,0.74648,0.81216,0.56588,1.06404,0.98913,1.07277,0.000206123,0.000206123,0.000206123
30,1240.35,0.87648,0.8349,1.00966,0.75484,0.73239,0.79749,0.55698,0.99363,1.02115,1.04661,0.000190949,0.000190949,0.000190949
31,1279.21,0.81093,0.78612,0.97913,0.81609,0.70423,0.77795,0.54196,0.92487,1.06333,1.03319,0.000176018,0.000176018,0.000176018
32,1329.03,0.84756,0.81246,1.0306,0.76375,0.76056,0.80965,0.59011,0.89954,0.98953,1.00913,0.000161389,0.000161389,0.000161389
33,1363.6,0.83409,0.76264,0.99879,0.77248,0.83099,0.82061,0.60491,0.91973,0.92674,1.00548,0.00014712,0.00014712,0.00014712
34,1414.7,0.83845,0.73287,0.98544,0.70289,0.88732,0.82836,0.62103,0.90462,0.87021,0.99435,0.000133266,0.000133266,0.000133266
35,1453.02,0.81459,0.75864,0.98293,0.85705,0.67556,0.80584,0.63572,0.86777,0.95166,0.95105,0.000119883,0.000119883,0.000119883
36,1506.12,0.75504,0.68852,0.9668,0.73931,0.79891,0.81909,0.64185,0.85108,0.89214,0.93786,0.000107023,0.000107023,0.000107023
37,1579.98,0.78463,0.71569,0.98937,0.81898,0.67606,0.77456,0.58996,0.89056,0.95067,0.96815,9.47376e-05,9.47376e-05,9.47376e-05
38,1623.5,0.80556,0.69469,0.98423,0.84882,0.67606,0.76683,0.57486,0.86553,0.95886,0.97616,8.30746e-05,8.30746e-05,8.30746e-05
39,1663.55,0.71014,0.66808,0.95213,0.84872,0.63215,0.76454,0.56276,0.90955,0.9915,1.00183,7.20803e-05,7.20803e-05,7.20803e-05
40,1699.86,0.72838,0.64495,0.93833,0.77341,0.71831,0.77915,0.5882,0.85268,0.97357,0.96079,6.1798e-05,6.1798e-05,6.1798e-05
41,1737.14,0.61523,0.53793,0.90087,0.77938,0.71831,0.79572,0.60471,0.86554,0.95745,0.96463,5.22683e-05,5.22683e-05,5.22683e-05
42,1781.08,0.61396,0.49387,0.91474,0.7985,0.72565,0.77848,0.5923,0.87241,1.00995,0.97214,4.35288e-05,4.35288e-05,4.35288e-05
43,1817.44,0.58642,0.46245,0.90086,0.81386,0.73239,0.77339,0.61349,0.84304,1.01247,0.96189,3.56141e-05,3.56141e-05,3.56141e-05
44,1860.92,0.54558,0.48125,0.86155,0.81141,0.71831,0.80587,0.63023,0.85375,0.9638,0.96722,2.85553e-05,2.85553e-05,2.85553e-05
45,1902.97,0.54905,0.42565,0.8605,0.80274,0.74513,0.81213,0.64344,0.85261,0.96345,0.96844,2.23803e-05,2.23803e-05,2.23803e-05
46,1951.86,0.56008,0.43929,0.88123,0.78982,0.74105,0.80292,0.62433,0.85298,0.98519,0.97574,1.71135e-05,1.71135e-05,1.71135e-05
47,2002.21,0.56705,0.44391,0.86279,0.79585,0.73239,0.79951,0.6231,0.8591,0.97844,0.97951,1.27757e-05,1.27757e-05,1.27757e-05
48,2040.38,0.53635,0.44331,0.85052,0.79874,0.73239,0.79952,0.6191,0.85242,0.9701,0.97913,9.38391e-06,9.38391e-06,9.38391e-06
49,2077.18,0.54473,0.42891,0.86782,0.79731,0.72027,0.79887,0.62769,0.84461,0.96622,0.97487,6.95161e-06,6.95161e-06,6.95161e-06
50,2114.06,0.56175,0.44312,0.87061,0.8595,0.68929,0.79836,0.62525,0.84172,0.97343,0.96946,5.48838e-06,5.48838e-06,5.48838e-06
