epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0952,1.36196,1.24871,1.43126,0.53766,0.22222,0.23306,0.13276,2.04464,3.56209,1.91078,0.000156863,0.000156863,0.0687843
2,69.2216,1.4002,1.3716,1.42348,0.69946,0.77596,0.79637,0.51611,1.23551,1.06628,1.41089,0.000323213,0.000323213,0.0356173
3,88.0379,1.41862,1.30551,1.48313,0.83488,0.66667,0.80051,0.54352,1.19019,1.13463,1.41408,0.000488283,0.000488283,0.00244907
4,107.416,1.43497,1.25835,1.44753,0.9696,0.55556,0.63551,0.45618,1.39924,1.39887,1.47757,0.000495616,0.000495616,0.000495616
5,125.112,1.26496,1.17208,1.3393,0.00617,0.44444,0.00417,0.00272,1.33003,85.0138,1.41923,0.000492224,0.000492224,0.000492224
6,142.667,1.28698,1.16206,1.29832,0.64554,0.44444,0.51618,0.32581,1.55533,1.83986,1.51058,0.000487886,0.000487886,0.000487886
7,167.211,1.27743,1.03279,1.31223,0.98558,0.66667,0.76176,0.6025,1.11135,1.22005,1.2937,0.00048262,0.00048262,0.00048262
8,185.207,1.18227,1.01171,1.28248,0.96843,0.66667,0.75741,0.4637,1.53702,1.60646,1.58872,0.000476445,0.000476445,0.000476445
9,203.752,1.27473,1.06603,1.37385,0.8017,0.66667,0.70374,0.38375,1.78484,1.88846,1.81524,0.000469386,0.000469386,0.000469386
10,221.075,1.32222,1.0468,1.36165,0.84914,0.66667,0.70651,0.40968,1.67377,1.43079,1.66437,0.000461471,0.000461471,0.000461471
11,250.349,1.28093,1.05524,1.31601,0.87054,0.75006,0.78899,0.47433,1.50371,1.3676,1.58062,0.000452732,0.000452732,0.000452732
12,298.872,1.28788,1.08352,1.36691,0.9477,0.66667,0.71648,0.49578,1.42308,1.55265,1.59043,0.000443202,0.000443202,0.000443202
13,316.75,1.19229,0.98155,1.26043,0.92302,0.66667,0.68635,0.52662,1.27758,2.05486,1.51654,0.00043292,0.00043292,0.00043292
14,335.376,1.26239,1.00055,1.3275,0.97555,0.66667,0.6884,0.51549,1.19594,1.92346,1.4292,0.000421925,0.000421925,0.000421925
15,360.261,1.29832,0.97782,1.32036,0.98323,0.66667,0.81167,0.5611,1.239,1.10588,1.42734,0.000410262,0.000410262,0.000410262
16,387.169,1.28115,0.99778,1.29172,0.97392,0.66667,0.79678,0.5292,1.41035,1.17094,1.53049,0.000397977,0.000397977,0.000397977
17,430.769,1.33536,1.07442,1.34703,0.97042,0.66667,0.77749,0.47275,1.44218,1.15776,1.55618,0.000385117,0.000385117,0.000385117
