epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0095,1.49616,2.10263,1.41297,0.98516,0.66667,0.70577,0.52963,1.12022,0.98666,1.24091,0.000156863,0.000156863,0.0687843
2,29.4529,1.46991,1.20736,1.37618,0.98451,0.88889,0.96115,0.67344,1.23939,0.94237,1.37414,0.000323213,0.000323213,0.0356173
3,44.3138,1.42278,1.24179,1.39975,0.84533,0.77778,0.81766,0.55627,1.24076,1.02442,1.39516,0.000488283,0.000488283,0.00244907
4,60.7042,1.53959,1.39693,1.49216,0.85941,0.68076,0.77045,0.52733,1.16335,1.20776,1.32092,0.000495616,0.000495616,0.000495616
5,76.0152,1.24426,1.2003,1.2863,0.98887,0.66667,0.71528,0.4938,1.27573,1.2486,1.28128,0.000492224,0.000492224,0.000492224
6,97.2688,1.34244,1.34417,1.32681,0.9882,0.55556,0.75944,0.52849,1.11686,1.09783,1.27409,0.000487886,0.000487886,0.000487886
7,117.807,1.32691,1.14998,1.32971,0.72686,0.88721,0.88084,0.60643,1.05413,0.89239,1.21801,0.00048262,0.00048262,0.00048262
8,132.713,1.25404,1.05594,1.2874,0.93791,0.66667,0.83232,0.58804,1.22109,1.00137,1.38711,0.000476445,0.000476445,0.000476445
9,147.617,1.37927,1.23544,1.36587,1,0.63677,0.82485,0.56852,1.29566,1.2551,1.35784,0.000469386,0.000469386,0.000469386
10,169.395,1.29736,1.16538,1.33698,0.97881,0.77778,0.80355,0.58117,1.118,1.15064,1.26583,0.000461471,0.000461471,0.000461471
11,190.005,1.22851,1.04421,1.25842,1,0.77002,0.79765,0.54464,1.25462,0.97735,1.36707,0.000452732,0.000452732,0.000452732
12,211.694,1.29678,1.04748,1.32354,0.9879,0.77778,0.87439,0.62579,1.20642,0.90277,1.4052,0.000443202,0.000443202,0.000443202
