epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1257,1.09089,1.54355,1.15566,0.59414,0.5493,0.56003,0.36733,1.09628,1.78148,1.21211,0.000164286,0.000164286,0.0673071
2,118.309,1.01963,1.31151,1.11144,0.64583,0.69349,0.70704,0.50808,1.0394,1.27441,1.20354,0.000330629,0.000330629,0.0341402
3,167.944,1.12614,1.36186,1.20234,0.57283,0.73239,0.70456,0.47596,1.11283,1.3384,1.31416,0.000495677,0.000495677,0.000971867
4,215.188,1.11747,1.30868,1.19261,0.59438,0.76056,0.7136,0.49653,1.07891,1.62255,1.28888,0.000495616,0.000495616,0.000495616
5,261.871,1.14682,1.37339,1.20223,0.59257,0.73749,0.71067,0.47922,1.14257,1.39993,1.32569,0.000492224,0.000492224,0.000492224
6,308.308,1.10443,1.28708,1.17581,0.65553,0.74648,0.73822,0.49845,1.0768,1.54161,1.22934,0.000487886,0.000487886,0.000487886
7,355.621,1.10708,1.26036,1.19916,0.73036,0.61972,0.70989,0.49632,1.10832,1.28382,1.22954,0.00048262,0.00048262,0.00048262
8,401.587,1.0812,1.17737,1.14793,0.63477,0.69014,0.69283,0.49196,1.09507,1.50109,1.27241,0.000476445,0.000476445,0.000476445
9,447.676,1.09356,1.22814,1.17296,0.65388,0.76056,0.68638,0.50032,1.00648,1.35202,1.26922,0.000469386,0.000469386,0.000469386
10,493.748,1.16165,1.24601,1.23199,0.70095,0.76056,0.73183,0.51151,1.06218,1.44353,1.21945,0.000461471,0.000461471,0.000461471
11,540.812,1.09063,1.18017,1.14971,0.77373,0.67431,0.73734,0.52378,1.02442,1.39325,1.24391,0.000452732,0.000452732,0.000452732
12,589.986,1.01067,1.14875,1.13505,0.75694,0.70423,0.83326,0.60306,0.96966,1.01184,1.16995,0.000443202,0.000443202,0.000443202
13,641.024,1.02384,1.11429,1.15191,0.62655,0.78873,0.76013,0.55301,0.93769,1.05564,1.13928,0.00043292,0.00043292,0.00043292
14,687.204,0.99196,1.0878,1.11936,0.68587,0.70733,0.76513,0.5411,1.01568,1.10001,1.1756,0.000421925,0.000421925,0.000421925
15,733.317,1.03041,1.10693,1.15076,0.64687,0.69666,0.74648,0.5188,1.03297,1.12131,1.22977,0.000410262,0.000410262,0.000410262
16,779.304,0.98695,1.0241,1.13776,0.74438,0.69732,0.78406,0.56365,0.92922,1.04218,1.13397,0.000397977,0.000397977,0.000397977
17,826.232,0.86876,1.16956,1.05065,0.76458,0.68617,0.77589,0.54286,0.95196,1.07153,1.13901,0.000385117,0.000385117,0.000385117
18,872.665,0.90819,0.99394,1.08184,0.73293,0.71831,0.76611,0.55084,0.99161,1.13181,1.18741,0.000371734,0.000371734,0.000371734
19,919.466,0.90533,0.97837,1.08024,0.80421,0.69014,0.77576,0.59774,0.91882,1.12173,1.13657,0.00035788,0.00035788,0.00035788
20,966.594,0.87388,0.94221,1.06549,0.74337,0.85679,0.82778,0.59983,0.95769,0.94926,1.16722,0.000343611,0.000343611,0.000343611
21,1013.32,0.8804,0.95586,1.07491,0.71753,0.78873,0.78808,0.57894,0.93191,1.03318,1.14962,0.000328982,0.000328982,0.000328982
22,1065.65,0.86369,0.91152,1.05948,0.84072,0.66915,0.81486,0.58852,0.82504,1.07633,1.10715,0.000314051,0.000314051,0.000314051
