epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0835,1.0737,1.60943,1.21829,0.58668,0.47887,0.52129,0.36259,1.26948,1.75721,1.40284,0.000164286,0.000164286,0.0673071
2,142.985,1.00967,1.39377,1.21021,0.4801,0.4507,0.39064,0.26568,1.07315,2.31675,1.27367,0.000330629,0.000330629,0.0341402
3,215.288,1.15345,1.41427,1.31746,0.16136,0.47887,0.12072,0.07422,1.22585,5.20854,1.26774,0.000495677,0.000495677,0.000971867
4,287.595,1.10557,1.39545,1.26318,0.67469,0.6338,0.73448,0.50489,0.99961,1.85773,1.32437,0.000495616,0.000495616,0.000495616
5,364.788,1.15235,1.40644,1.28507,0.61789,0.60563,0.66988,0.41942,1.00646,1.51829,1.26984,0.000492224,0.000492224,0.000492224
6,437.375,1.06093,1.28453,1.23633,0.6278,0.74648,0.69148,0.49224,1.03741,1.49502,1.27146,0.000487886,0.000487886,0.000487886
7,515.177,1.02366,1.18477,1.24976,0.7395,0.76056,0.7908,0.54791,1.05569,1.43538,1.21989,0.00048262,0.00048262,0.00048262
8,591.771,0.99225,1.10454,1.18893,0.6876,0.74404,0.72887,0.49206,1.11863,1.59443,1.3282,0.000476445,0.000476445,0.000476445
9,666.088,1.00549,1.17525,1.23008,0.67581,0.78873,0.76639,0.54214,0.99579,1.54121,1.24465,0.000469386,0.000469386,0.000469386
10,739.055,1.06605,1.15894,1.24399,0.75536,0.74648,0.75702,0.52284,0.99129,1.44315,1.26825,0.000461471,0.000461471,0.000461471
11,811.611,0.9976,1.0987,1.17648,0.67127,0.70423,0.75252,0.5493,0.97485,1.45121,1.16961,0.000452732,0.000452732,0.000452732
12,889.744,0.97226,1.0803,1.18562,0.63504,0.76056,0.77617,0.56508,1.01121,1.22267,1.22561,0.000443202,0.000443202,0.000443202
13,966.208,0.97318,1.06864,1.17581,0.75122,0.63798,0.75754,0.55505,0.9277,1.06974,1.24273,0.00043292,0.00043292,0.00043292
14,1038.53,0.942,1.09155,1.1529,0.77602,0.71831,0.81708,0.58845,0.97813,1.04645,1.2553,0.000421925,0.000421925,0.000421925
15,1115.08,0.96554,1.02702,1.18583,0.781,0.70321,0.78612,0.56454,0.96662,1.08925,1.23471,0.000410262,0.000410262,0.000410262
16,1187.44,0.93533,0.95785,1.18366,0.74509,0.77465,0.83457,0.62189,0.93447,1.02737,1.18298,0.000397977,0.000397977,0.000397977
17,1280.29,0.8381,1.09888,1.08846,0.69423,0.74648,0.78687,0.57425,0.94461,1.03692,1.20019,0.000385117,0.000385117,0.000385117
18,1356.55,0.87994,1.01441,1.13045,0.70354,0.8169,0.79526,0.60548,0.89743,1.02244,1.16515,0.000371734,0.000371734,0.000371734
19,1429.39,0.85657,0.95454,1.11107,0.73979,0.71831,0.78416,0.6083,0.87394,1.25463,1.1634,0.00035788,0.00035788,0.00035788
20,1501.82,0.831,0.8669,1.07945,0.75589,0.71831,0.77392,0.58043,0.92217,1.01827,1.1564,0.000343611,0.000343611,0.000343611
21,1574.2,0.78887,0.98759,1.07129,0.77093,0.75845,0.80647,0.60533,0.96977,1.1053,1.19368,0.000328982,0.000328982,0.000328982
22,1654,0.79846,0.84009,1.07058,0.70143,0.74648,0.78048,0.58938,0.94759,1.24874,1.22449,0.000314051,0.000314051,0.000314051
23,1726.1,0.78596,0.8586,1.07425,0.70379,0.80314,0.80892,0.63637,0.87666,0.95793,1.15527,0.000298877,0.000298877,0.000298877
24,1811.05,0.78765,0.85579,1.06355,0.72139,0.77465,0.79366,0.61915,0.93457,0.96451,1.22536,0.00028352,0.00028352,0.00028352
25,1883.33,0.799,0.78843,1.08809,0.72896,0.77465,0.79846,0.61754,0.82598,0.90721,1.12552,0.000268041,0.000268041,0.000268041
26,1955.56,0.73994,0.76503,1.0708,0.86071,0.80282,0.85114,0.65564,0.84359,0.92701,1.16946,0.0002525,0.0002525,0.0002525
